# title|artist|genre|duration_sec|playCount|rating|path|coverPath
Metro Spider ft. Young Thug|Metro Boomin|Hip Hop|180|20534|4.2|assets/songs/Metro Boomin - Metro Spider ft. Young Thug .mp3|assets/covers/HEROES & VILLAINS.png
Niagara Falls (Foot or 2) ft. Travis Scott 21 Savage|Metro Boomin|Hip Hop|254|19775|4.4|assets/songs/Metro Boomin - Niagara Falls (Foot or 2) ft. Travis Scott 21 Savage .mp3|assets/covers/HEROES & VILLAINS.png
Raindrops ft. Travis Scott|Metro Boomin|Hip Hop|258|34772|4.9|assets/songs/Metro Boomin - Raindrops ft. Travis Scott .mp3|assets/covers/HEROES & VILLAINS.png
Superhero ft. Future|Metro Boomin|Hip Hop|226|47023|4.0|assets/songs/Metro Boomin - Superhero ft. Future .mp3|assets/covers/HEROES & VILLAINS.png
Too Many Nights ft. Don Toliver Future|Metro Boomin|Hip Hop|217|21349|4.7|assets/songs/Metro Boomin - Too Many Nights ft. Don Toliver Future .mp3|assets/covers/HEROES & VILLAINS.png
Trance ft. Travis Scott Young Thug|Metro Boomin|Hip Hop|183|10199|4.9|assets/songs/Metro Boomin - Trance ft. Travis Scott Young Thug .mp3|assets/covers/HEROES & VILLAINS.png
Umbrella|Metro Boomin|Hip Hop|186|22065|4.8|assets/songs/Metro Boomin - Umbrella.mp3|assets/covers/HEROES & VILLAINS.png
Walk Em Down (Don't Kill Civilians) ft. 21 Savage Mustafa|Metro Boomin|Hip Hop|228|10619|4.3|assets/songs/Metro Boomin - Walk Em Down (Don't Kill Civilians) ft. 21 Savage Mustafa.mp3|assets/covers/HEROES & VILLAINS.png
I Can't Save You (Interlude) (Visualizer) ft. Don Toliver|Metro Boomin, Future|Hip Hop|245|3505|5.0|assets/songs/Metro Boomin, Future - I Can't Save You (Interlude) (Visualizer) ft. Don Toliver.mp3|assets/covers/HEROES & VILLAINS.png
5% TINT|Travis Scott|Hip Hop|188|19970|4.2|assets/songs/Travis Scott - 5% TINT .mp3|assets/covers/Astroworld.png
ASTROTHUNDER|Travis Scott|Hip Hop|182|13379|4.7|assets/songs/Travis Scott - ASTROTHUNDER .mp3|assets/covers/Astroworld.png
BUTTERFLY EFFECT|Travis Scott|Hip Hop|238|32498|4.7|assets/songs/Travis Scott - BUTTERFLY EFFECT .mp3|assets/covers/Astroworld.png
CAN'T SAY ft. Don Toliver|Travis Scott|Hip Hop|223|36434|4.7|assets/songs/Travis Scott - CAN'T SAY ft. Don Toliver .mp3|assets/covers/Astroworld.png
CAROUSEL|Travis Scott|Hip Hop|258|21229|4.6|assets/songs/Travis Scott - CAROUSEL .mp3|assets/covers/Astroworld.png
COFFEE BEAN|Travis Scott|Hip Hop|193|49350|4.4|assets/songs/Travis Scott - COFFEE BEAN .mp3|assets/covers/Astroworld.png
HOUSTONFORNICATION|Travis Scott|Hip Hop|254|12004|4.3|assets/songs/Travis Scott - HOUSTONFORNICATION .mp3|assets/covers/Astroworld.png
NC-17 ft. 21 Savage|Travis Scott|Hip Hop|225|34179|4.4|assets/songs/Travis Scott - NC-17 ft. 21 Savage.mp3|assets/covers/Astroworld.png
NO BYSTANDERS ft. Juice Wrld|Travis Scott|Hip Hop|238|12752|4.3|assets/songs/Travis Scott - NO BYSTANDERS ft. Juice Wrld .mp3|assets/covers/Astroworld.png
R.I.P. SCREW|Travis Scott|Hip Hop|233|46984|4.5|assets/songs/Travis Scott - R.I.P. SCREW .mp3|assets/covers/Astroworld.png
SICKO MODE ft. Drake|Travis Scott|Hip Hop|211|22131|4.0|assets/songs/Travis Scott - SICKO MODE ft. Drake .mp3|assets/covers/Astroworld.png
SKELETONS ft. The Weeknd|Travis Scott|Hip Hop|247|37806|4.4|assets/songs/Travis Scott - SKELETONS ft. The Weeknd .mp3|assets/covers/Astroworld.png
STARGAZING  Audio|Travis Scott|Hip Hop|184|36716|4.4|assets/songs/Travis Scott - STARGAZING  Audio .mp3|assets/covers/Astroworld.png
STOP TRYING TO BE GOD ft. James Blake Stevie Wonder Kid Cudi|Travis Scott|Hip Hop|180|34407|5.0|assets/songs/Travis Scott - STOP TRYING TO BE GOD ft. James Blake Stevie Wonder Kid Cudi .mp3|assets/covers/Astroworld.png
WHO WHAT|Travis Scott|Hip Hop|236|26532|4.5|assets/songs/Travis Scott - WHO WHAT  .mp3|assets/covers/Astroworld.png
YOSEMITE ft. Gunna|Travis Scott|Hip Hop|201|37566|4.3|assets/songs/Travis Scott - YOSEMITE ft. Gunna .mp3|assets/covers/Astroworld.png
